Release Date,Period End,EPS Actual,EPS Forecast,EPS Surprise,Revenue Actual,Revenue Forecast,Revenue Surprise
"Jan 09, 2023",Dec-22,--,29.46,-29.46,--,561.46B,-561.46
"Oct 10, 2022",Sep-22,--,28.26,-28.26,--,550.86B,-550.86
"Jul 08, 2022",Jun-22,24.35,26.79,-2.44,527.58B,525.77B,1.81
"Apr 11, 2022",Mar-22,26.85,27.11,-0.26,505.91B,503.41B,2.5
"Jan 12, 2022",Dec-21,26.41,26.79,-0.38,488.85B,484.82B,4.03
"Oct 08, 2021",Sep-21,26.02,26.13,-0.11,468.67B,473.98B,-5.31
"Jul 07, 2021",Jun-21,24.35,25.23,-0.88,454.11B,458.78B,-4.67
"Apr 12, 2021",Mar-21,25.52,24.96,0.56,449.55B,436.92B,12.63
"Jan 08, 2021",Dec-20,22.71,22.4,0.31,417.66B,411.78B,5.88
"Oct 07, 2020",Sep-20,19.78,21.03,-1.25,397.27B,392.67B,4.6
"Jul 08, 2020",Jun-20,18.68,20.34,-1.66,383.22B,388.79B,-5.57
"Apr 15, 2020",Mar-20,21.4,22,-0.6,399.46B,405.25B,-5.79
"Jan 17, 2020",Dec-19,21.33,22.02,-0.69,397.21B,398.71B,-1.5
"Oct 10, 2019",Sep-19,21.43,22.03,-0.6,389.77B,393.72B,-3.95
"Jul 09, 2019",Jun-19,21.67,21.25,0.42,381.72B,376.02B,5.7
"Apr 12, 2019",Mar-19,21.44,21.27,0.17,373.33B,377.57B,-4.24
"Jan 10, 2019",Dec-18,21.6,21.71,-0.11,373.38B,378.22B,-4.84
"Oct 11, 2018",Sep-18,20.66,20.67,-0.01,368.54B,364.17B,4.37
"Jul 10, 2018",Jun-18,19.11,19.08,0.03,342.61B,340.17B,2.44
"Apr 19, 2018",Mar-18,18.49,17.8,0.69,328.33B,316.58B,11.75
"Jan 11, 2018",Dec-17,17.06,16.39,0.67,309.04B,"294,770M",15.04
"Oct 13, 2017",Sep-17,16.92,15.65,1.27,308.46B,"297,368M",11.46
"Jul 13, 2017",Jun-17,15.14,15.34,-0.2,295.83B,"292,593M",3.83
"Apr 18, 2017",Mar-17,16.14,16.88,-0.74,287.51B,"299,309M",-11.49
"Jan 12, 2017",Dec-16,17.2,15.39,1.81,298.64B,"275,963M",23.64
"Oct 12, 2016",Sep-16,16.7,15,1.7,292.69B,"272,474M",20.69
"Jul 14, 2016",Jun-16,33.43,14.01,19.42,293.1B,"255,034M",38.1
"Apr 18, 2016",Mar-16,32.06,15.24,16.82,284.5B,"283,193M",1.5
"Jan 12, 2016",Dec-15,32.54,14.1,18.44,802.0B,"245,527M",557
"Oct 13, 2015",Sep-15,30.88,13.91,16.97,271.7B,"239,373M",32.7
"Jul 09, 2015",Jun-15,30.88,12.56,18.32,256.7B,"220,253M",36.7
"Apr 16, 2015",Mar-15,29.02,13.8,15.22,242.2B,"245,503M",-2.8
"Jan 15, 2015",Dec-14,29.47,13.08,16.39,245.0B,"214,540M",31
"Oct 16, 2014",Sep-14,--,11.48,-11.48,238.2B,"207,324M",31.2
"Jul 17, 2014",Jun-14,26.78,9.68,17.1,221.1B,"176,070M",45.1
"Apr 16, 2014",Mar-14,25.92,13.25,12.67,--,"216,744M",-216
"Jan 16, 2014",Dec-13,27.27,8.7,18.57,--,"152,415M",-152
"Oct 15, 2013",Sep-13,27.2,8.56,18.64,--,"155,629M",-155
